filing_date,cik,company_name,form_type,filing_date,accession,ticker
2018-02-22,1013462,ANSYS INC,10-K,2018-02-22,0001013462-18-000004,anss
2018-02-26,1013488,BJs RESTAURANTS INC,10-K,2018-02-26,0001564590-18-003270,bjri
2018-03-13,1013606,ENDOLOGIX INC /DE/,10-K,2018-03-13,0001013606-18-000025,
2018-03-22,1013706,"Wilhelmina International, Inc.",10-K,2018-03-22,0001171843-18-002182,whlm
2018-02-22,101382,UMB FINANCIAL CORP,10-K,2018-02-22,0001564590-18-002843,umbf
2018-02-26,1013857,PEGASYSTEMS INC,10-K,2018-02-26,0001193125-18-058491,pega
2018-03-01,1013871,"NRG ENERGY, INC.",10-K,2018-03-01,0001013871-18-000011,nrg
2018-03-13,1013880,"TTEC Holdings, Inc.",10-K,2018-03-13,0001558370-18-001935,ttec
2018-03-01,1013934,STRAYER EDUCATION INC,10-K,2018-03-01,0001558370-18-001389,stra
2018-02-16,1014473,VERISIGN INC/CA,10-K,2018-02-16,0001014473-18-000018,vrsn
2018-03-26,1014739,"BioScrip, Inc.",10-K,2018-03-26,0001628280-18-003541,opch
2018-03-09,1015155,CHARLES & COLVARD LTD,10-K,2018-03-09,0001140361-18-012655,cthr
2018-02-28,1015328,WINTRUST FINANCIAL CORP,10-K,2018-02-28,0001015328-18-000080,wtfcp
2018-02-28,1015739,AWARE INC /MA/,10-K,2018-02-28,0001144204-18-011461,awre
2018-02-21,1015780,E TRADE FINANCIAL CORP,10-K,2018-02-21,0001015780-18-000033,
2018-03-28,101594,US ENERGY CORP,10-K,2018-03-28,0001493152-18-004053,useg
2018-02-26,1016125,ULTIMATE SOFTWARE GROUP INC,10-K,2018-02-26,0001016125-18-000039,
2018-03-13,1016169,"ANTARES PHARMA, INC.",10-K,2018-03-13,0001564590-18-005459,atrs
2018-02-21,1016281,CARRIAGE SERVICES INC,10-K,2018-02-21,0001016281-18-000024,csv
2018-03-13,1016708,"RenovaCare, Inc.",10-K,2018-03-13,0001477932-18-001262,rcar
2018-03-21,1017303,TRANSACT TECHNOLOGIES INC,10-K,2018-03-21,0001017303-18-000022,tact
2018-03-30,1017480,HIBBETT SPORTS INC,10-K,2018-03-30,0001017480-18-000012,hibb
2018-03-01,1017491,"APRICUS BIOSCIENCES, INC.",10-K,2018-03-01,0001017491-18-000026,seel
2018-03-30,1017655,PAID INC,10-K,2018-03-30,0001654954-18-003409,payd
2018-02-27,1017673,DOVER MOTORSPORTS INC,10-K,2018-02-27,0001104659-18-012876,dvd
2018-02-22,101778,MARATHON OIL CORP,10-K,2018-02-22,0000101778-18-000026,mro
2018-03-06,1017907,FIRST ACCEPTANCE CORP /DE/,10-K,2018-03-06,0001564590-18-004523,
2018-03-16,1017968,EDGEWATER TECHNOLOGY INC/DE/,10-K,2018-03-16,0001193125-18-086033,edgw
2018-03-15,1018164,WILLIS LEASE FINANCE CORP,10-K,2018-03-15,0001558370-18-002139,wlfc
2018-02-20,1018254,UNITED DOMINION REALTY L P,10-K,2018-02-20,0000074208-18-000024,
2018-02-09,101829,UNITED TECHNOLOGIES CORP /DE/,10-K,2018-02-09,0000101829-18-000005,rtx
2018-03-13,1018399,ENTERPRISE BANCORP INC /MA/,10-K,2018-03-13,0001018399-18-000016,ebtc
2018-02-02,1018724,AMAZON COM INC,10-K,2018-02-02,0001018724-18-000005,amzn
2018-02-20,1018963,ALLEGHENY TECHNOLOGIES INC,10-K,2018-02-20,0001018963-18-000004,ati
2018-02-28,1018979,AMERISAFE INC,10-K,2018-02-28,0001564590-18-003779,amsf
2018-03-05,1019695,ARQULE INC,10-K,2018-03-05,0001144204-18-012722,
2018-02-23,1019737,NAVIGANT CONSULTING INC,10-K,2018-02-23,0001564590-18-003055,
2018-02-22,1019849,"PENSKE AUTOMOTIVE GROUP, INC.",10-K,2018-02-22,0001558370-18-000944,pag
2018-03-13,101984,UNIVERSAL ELECTRONICS INC,10-K,2018-03-13,0000101984-18-000008,ueic
2018-03-08,1020214,CERUS CORP,10-K,2018-03-08,0001564590-18-004969,cers
2018-02-16,1020569,IRON MOUNTAIN INC,10-K,2018-02-16,0001020569-18-000006,irm
2018-03-28,1020710,DXP ENTERPRISES INC,10-K,2018-03-28,0001140361-18-015469,dxpe
2018-03-05,1021270,FAMOUS DAVES OF AMERICA INC,10-K,2018-03-05,0001021270-18-000006,bbq
2018-02-16,1021561,NU SKIN ENTERPRISES INC,10-K,2018-02-16,0001021561-18-000008,nus
2018-03-29,1021604,ON TRACK INNOVATIONS LTD,10-K,2018-03-29,0001213900-18-003667,otivf
2018-02-22,1021635,OGE ENERGY CORP.,10-K,2018-02-22,0001021635-18-000015,oge
2018-02-16,1021860,NATIONAL OILWELL VARCO INC,10-K,2018-02-16,0001193125-18-048333,nov
2018-02-23,1022079,QUEST DIAGNOSTICS INC,10-K,2018-02-23,0001022079-18-000038,dgx
2018-03-01,102212,UNIVEST CORP OF PENNSYLVANIA,10-K,2018-03-01,0000102212-18-000018,uvsp
2018-02-26,1022321,GENESIS ENERGY LP,10-K,2018-02-26,0001022321-18-000024,gel
2018-02-23,1022344,SIMON PROPERTY GROUP L P /DE/,10-K,2018-02-23,0001558370-18-000981,
2018-01-12,1022505,CIPHERLOC Corp,10-K,2018-01-12,0001493152-18-000491,clok
2018-02-28,1022646,ULTRA PETROLEUM CORP,10-K,2018-02-28,0001564590-18-003771,
2018-03-16,1022652,INSEEGO CORP.,10-K,2018-03-16,0001022652-18-000015,insg
2018-02-27,1022671,STEEL DYNAMICS INC,10-K,2018-02-27,0001144204-18-011155,stld
2018-02-27,1023024,ANI PHARMACEUTICALS INC,10-K,2018-02-27,0001144204-18-011197,anip
2018-02-23,1023128,LITHIA MOTORS INC,10-K,2018-02-23,0001023128-18-000020,lad
2018-03-09,1023313,"FORRESTER RESEARCH, INC.",10-K,2018-03-09,0001564590-18-005110,forr
2018-03-15,1023364,"AutoWeb, Inc.",10-K,2018-03-15,0001654954-18-002634,auto
2018-03-30,1023458,AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP,10-K,2018-03-30,0001326321-18-000007,
2018-03-23,1023860,STEWARDSHIP FINANCIAL CORP,10-K,2018-03-23,0001023860-18-000009,
2018-03-01,1023994,"SG BLOCKS, INC.",10-K,2018-03-01,0001213900-18-002467,sgbx
2018-03-08,1024126,"PERNIX THERAPEUTICS HOLDINGS, INC.",10-K,2018-03-08,0001136261-18-000075,
2018-02-28,1024725,TENNECO INC,10-K,2018-02-28,0001024725-18-000006,ten
2018-02-27,1024795,SUN HYDRAULICS CORP,10-K,2018-02-27,0001564590-18-003418,hlio
2018-03-27,1025362,GOLDEN QUEEN MINING CO LTD,10-K,2018-03-27,0001279569-18-000575,
2018-02-23,1025378,W. P. Carey Inc.,10-K,2018-02-23,0001025378-18-000014,wpc
2018-03-15,10254,EARTHSTONE ENERGY INC,10-K,2018-03-15,0001564590-18-005824,este
2018-03-13,1025771,CHASE PACKAGING CORP,10-K,2018-03-13,0001477932-18-001249,whlt
2018-02-23,1025835,ENTERPRISE FINANCIAL SERVICES CORP,10-K,2018-02-23,0001025835-18-000016,efsc
2018-02-13,1025996,KILROY REALTY CORP,10-K,2018-02-13,0001025996-18-000107,krc
2018-02-15,1026214,FEDERAL HOME LOAN MORTGAGE CORP,10-K,2018-02-15,0001026214-18-000020,fmckk
2018-03-07,1026655,CORE MOLDING TECHNOLOGIES INC,10-K,2018-03-07,0001026655-18-000007,cmt
2018-02-28,102729,VALMONT INDUSTRIES INC,10-K,2018-02-28,0000102729-18-000008,vmi
2018-03-07,102752,VSE CORP,10-K,2018-03-07,0000102752-18-000010,vsec
2018-02-26,1027838,TACTILE SYSTEMS TECHNOLOGY INC,10-K,2018-02-26,0001558370-18-001091,tcmd
2018-02-21,1027884,CHICAGO BRIDGE & IRON CO N V,10-K,2018-02-21,0001027884-18-000045,
2018-02-16,1028734,COBIZ FINANCIAL INC,10-K,2018-02-16,0001558370-18-000754,cobz
2018-02-28,1028918,PACIFIC PREMIER BANCORP INC,10-K,2018-02-28,0001028918-18-000042,ppbi
2018-03-15,1028954,SUSSEX BANCORP,10-K,2018-03-15,0001028954-18-000002,
2018-03-21,1029125,"Sun BioPharma, Inc.",10-K,2018-03-21,0001437749-18-005094,pbla
2018-03-08,1029142,DYNAVAX TECHNOLOGIES CORP,10-K,2018-03-08,0001564590-18-004917,dvaxw
2018-03-01,1029199,EURONET WORLDWIDE INC,10-K,2018-03-01,0001029199-18-000015,eeft
2018-03-16,1029730,LADENBURG THALMANN FINANCIAL SERVICES INC.,10-K,2018-03-16,0001029730-18-000002,ltsa
2018-01-12,1029744,SONIC FOUNDRY INC,10-K,2018-01-12,0001029744-18-000006,sofo
2018-01-12,1029800,URSTADT BIDDLE PROPERTIES INC,10-K,2018-01-12,0001029800-18-000010,ubp-pk
2018-03-21,1029831,HILLMAN COMPANIES INC,10-K,2018-03-21,0001029831-18-000006,hlm-p
2018-02-26,1030192,NEW JERSEY MINING CO,10-K,2018-02-26,0001052918-18-000050,njmc
2018-03-13,1030469,OFG BANCORP,10-K,2018-03-13,0001030469-18-000021,ofg-pb
2018-03-16,1031029,"StarTek, Inc.",10-K,2018-03-16,0001031029-18-000025,srt
2018-01-17,1031093,"SILVER BULL RESOURCES, INC.",10-K,2018-01-17,0001079973-18-000029,svbl
2018-02-20,1031203,GROUP 1 AUTOMOTIVE INC,10-K,2018-02-20,0001031203-18-000013,gpi
2018-02-20,1031296,FIRSTENERGY CORP,10-K,2018-02-20,0001031296-18-000015,fe
2018-02-13,1031316,FRANKLIN STREET PROPERTIES CORP /MA/,10-K,2018-02-13,0001558370-18-000638,fsp
2018-02-21,103145,VEECO INSTRUMENTS INC,10-K,2018-02-21,0001104659-18-011084,veco
2018-03-09,1031623,GULF ISLAND FABRICATION INC,10-K,2018-03-09,0001031623-18-000014,gifi
2018-02-23,1032033,SLM CORP,10-K,2018-02-23,0001628280-18-002138,slmbp
2018-02-27,1032208,SEMPRA ENERGY,10-K,2018-02-27,0000086521-18-000019,srea
2018-01-18,10329,BASSETT FURNITURE INDUSTRIES INC,10-K,2018-01-18,0001437749-18-000767,bset
2018-03-12,1033012,FLAGSTAR BANCORP INC,10-K,2018-03-12,0001033012-18-000025,fbc
2018-02-27,1033128,FIRST INDUSTRIAL LP,10-K,2018-02-27,0001628280-18-002320,
2018-02-28,103379,V F CORP,10-K,2018-02-28,0000103379-18-000003,vfc
2018-02-26,1033905,LUMINEX CORP,10-K,2018-02-26,0001033905-18-000014,lmnx
2018-03-01,1034054,SBA COMMUNICATIONS CORP,10-K,2018-03-01,0001034054-18-000003,sbac
2018-03-01,1034563,ICAHN ENTERPRISES HOLDINGS L.P.,10-K,2018-03-01,0000813762-18-000029,
2018-02-22,1034670,AUTOLIV INC,10-K,2018-02-22,0001564590-18-002787,alv
2018-03-21,1034760,WIDEPOINT CORP,10-K,2018-03-21,0001144204-18-016169,wyy
2018-03-06,1034842,RIGEL PHARMACEUTICALS INC,10-K,2018-03-06,0001558370-18-001555,rigl
2018-02-28,1035002,VALERO ENERGY CORP/TX,10-K,2018-02-28,0001035002-18-000010,vlo
2018-03-16,1035092,SHORE BANCSHARES INC,10-K,2018-03-16,0001144204-18-015095,shbi
2018-03-01,1035201,CALIFORNIA WATER SERVICE GROUP,10-K,2018-03-01,0001035201-18-000003,cwt
2018-02-26,1035216,SOUTH JERSEY GAS Co,10-K,2018-02-26,0000091928-18-000034,
2018-02-02,1035267,INTUITIVE SURGICAL INC,10-K,2018-02-02,0001035267-18-000013,isrg
2018-03-16,1035354,"Eloxx Pharmaceuticals, Inc.",10-K,2018-03-16,0001193125-18-086028,elox
2018-01-30,1035443,ALEXANDRIA REAL ESTATE EQUITIES INC,10-K,2018-01-30,0001035443-18-000028,are
2018-02-22,1035688,SELECT MEDICAL CORP,10-K,2018-02-22,0001628280-18-002017,
2018-02-28,1035748,CALLIDUS SOFTWARE INC,10-K,2018-02-28,0001035748-18-000007,
2018-03-09,1035976,"FNCB Bancorp, Inc.",10-K,2018-03-09,0001437749-18-004315,fncb
2018-02-22,1035983,COMFORT SYSTEMS USA INC,10-K,2018-02-22,0001558370-18-000936,fix
2018-03-29,1036044,"Identiv, Inc.",10-K,2018-03-29,0001564590-18-007026,inve
2018-03-28,1036262,INTEST CORP,10-K,2018-03-28,0001437749-18-005659,intt
2018-02-27,103682,VIRGINIA ELECTRIC & POWER CO,10-K,2018-02-27,0001193125-18-059578,
2018-03-08,1036848,AEROCENTURY CORP,10-K,2018-03-08,0001036848-18-000004,acy
2018-03-15,1037016,NII HOLDINGS INC,10-K,2018-03-15,0001037016-18-000010,
2018-02-16,103730,VISHAY INTERTECHNOLOGY INC,10-K,2018-02-16,0000103730-18-000008,vsh
2018-02-08,1037390,"GRIFFIN INDUSTRIAL REALTY, INC.",10-K,2018-02-08,0001558370-18-000519,indt
2018-02-28,1037540,BOSTON PROPERTIES INC,10-K,2018-02-28,0001656423-18-000004,bxp
2018-02-09,1037646,METTLER TOLEDO INTERNATIONAL INC/,10-K,2018-02-09,0001037646-18-000006,mtd
2018-02-23,1037676,ARCH COAL INC,10-K,2018-02-23,0001628280-18-002109,arch
2018-02-22,1037868,AMETEK INC/,10-K,2018-02-22,0001193125-18-053631,ame
2018-02-23,1037976,JONES LANG LASALLE INC,10-K,2018-02-23,0001037976-18-000008,jll
2018-01-31,1038074,SILICON LABORATORIES INC,10-K,2018-01-31,0001047469-18-000522,slab
2018-03-09,1038133,HESKA CORP,10-K,2018-03-09,0001038133-18-000007,hska
2018-03-08,1038222,"Reis, Inc.",10-K,2018-03-08,0001193125-18-074264,
2018-03-30,1038277,INTERNATIONAL ISOTOPES INC,10-K,2018-03-30,0001515971-18-000027,inis
2018-02-20,1038357,PIONEER NATURAL RESOURCES CO,10-K,2018-02-20,0001038357-18-000015,pxd
2018-03-08,1038509,PRUCO LIFE INSURANCE OF NEW JERSEY,10-K,2018-03-08,0001038509-18-000007,
2018-01-12,103872,"VOLT INFORMATION SCIENCES, INC.",10-K,2018-01-12,0000103872-18-000006,volt
2018-03-16,1038773,SMARTFINANCIAL INC.,10-K,2018-03-16,0001038773-18-000010,smbk
2018-02-22,1039101,"L3 TECHNOLOGIES, INC.",10-K,2018-02-22,0001140361-18-009565,
2018-02-27,1039399,FORMFACTOR INC,10-K,2018-02-27,0001039399-18-000014,form
2018-02-27,1039684,ONEOK INC /NEW/,10-K,2018-02-27,0001039684-18-000021,oke
2018-02-23,1039828,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,10-K,2018-02-23,0001039828-18-000006,ael-pb
2018-03-14,1040161,"PIXELWORKS, INC",10-K,2018-03-14,0001040161-18-000006,pxlw
2018-02-26,1040426,SYNTEL INC,10-K,2018-02-26,0001193125-18-058590,synt
2018-02-28,1040593,CARRIZO OIL & GAS INC,10-K,2018-02-28,0001040593-18-000017,crzo
2018-02-12,1040765,VORNADO REALTY LP,10-K,2018-02-12,0000899689-18-000009,
2018-02-27,1040829,"Ryman Hospitality Properties, Inc.",10-K,2018-02-27,0001193125-18-060772,rhp
2018-03-23,1040896,"Intellicheck, Inc.",10-K,2018-03-23,0001493152-18-003779,idn
2018-02-23,1040971,SL GREEN REALTY CORP,10-K,2018-02-23,0001040971-18-000006,slg-pi
2018-03-15,1041024,"ROCKWELL MEDICAL, INC.",10-K,2018-03-15,0001558370-18-002142,rmti
2018-02-22,1041061,YUM BRANDS INC,10-K,2018-02-22,0001041061-18-000013,yum
2018-03-15,1041550,HOPFED BANCORP INC,10-K,2018-03-15,0001193125-18-083696,
2018-03-16,1041657,"URBAN ONE, INC.",10-K,2018-03-16,0001144204-18-015060,uonek
2018-03-30,104169,Walmart Inc.,10-K,2018-03-30,0000104169-18-000028,wmt
2018-03-22,1041859,"Childrens Place, Inc.",10-K,2018-03-22,0001628280-18-003499,plce
2018-02-23,1042046,AMERICAN FINANCIAL GROUP INC,10-K,2018-02-23,0001042046-18-000014,afgb
2018-03-15,1042074,"CymaBay Therapeutics, Inc.",10-K,2018-03-15,0001564590-18-005831,cbay
2018-02-16,1042418,"HedgePath Pharmaceuticals, Inc.",10-K,2018-02-16,0001193125-18-047834,inti
2018-03-30,1042642,DISH DBS CORP,10-K,2018-03-30,0001558370-18-002595,
2018-03-05,1042729,MERCANTILE BANK CORP,10-K,2018-03-05,0001437749-18-003838,mbwm
2018-02-22,1042773,CENTERPOINT ENERGY RESOURCES CORP,10-K,2018-02-22,0001042773-18-000004,
2018-02-21,1042776,"Piedmont Office Realty Trust, Inc.",10-K,2018-02-21,0001042776-18-000040,pdm
2018-02-27,1042893,DRIL-QUIP INC,10-K,2018-02-27,0001042893-18-000003,drq
2018-03-02,1043000,CAPITAL SENIOR LIVING CORP,10-K,2018-03-02,0001564590-18-004240,csu
2018-02-28,1043121,BOSTON PROPERTIES LTD PARTNERSHIP,10-K,2018-02-28,0001656423-18-000004,
2018-03-29,1043186,American Electric Technologies Inc,10-K,2018-03-29,0001564590-18-007087,slng
2018-02-16,1043219,ANNALY CAPITAL MANAGEMENT INC,10-K,2018-02-16,0001628280-18-001815,nly-pi
2018-03-29,1043222,CHINAWE COM INC,10-K,2018-03-29,0001615774-18-002174,chwe
2018-02-28,1043277,C H ROBINSON WORLDWIDE INC,10-K,2018-02-28,0001043277-18-000007,chrw
2018-03-07,1043337,STONERIDGE INC,10-K,2018-03-07,0001144204-18-013135,sri
2018-02-28,1043509,SONIC AUTOMOTIVE INC,10-K,2018-02-28,0001564590-18-003800,sah
2018-03-28,1043565,POTOMAC FUTURES FUND LP,10-K,2018-03-28,0001193125-18-098996,
2018-02-23,1043604,JUNIPER NETWORKS INC,10-K,2018-02-23,0001043604-18-000011,jnpr
2018-03-29,1043951,CAMPBELL FUND TRUST,10-K,2018-03-29,0001140361-18-015897,
2018-03-28,1044378,BIOCEPT INC,10-K,2018-03-28,0001564590-18-006985,bioc
2018-03-08,1044777,VASCO DATA SECURITY INTERNATIONAL INC,10-K,2018-03-08,0001558370-18-001736,ospn
2018-02-22,1045309,W R GRACE & CO,10-K,2018-02-22,0001045309-18-000014,gra
2018-03-16,1045425,RAIT Financial Trust,10-K,2018-03-16,0001564590-18-006057,
2018-03-01,1045450,EPR PROPERTIES,10-K,2018-03-01,0001045450-18-000021,epr-pe
2018-02-15,1045609,"Prologis, Inc.",10-K,2018-02-15,0001564590-18-002228,pldgp
2018-02-15,1045610,"Prologis, L.P.",10-K,2018-02-15,0001564590-18-002228,
2018-02-23,10456,BAXTER INTERNATIONAL INC,10-K,2018-02-23,0001564590-18-002954,bax
2018-01-18,1045742,LIVE VENTURES Inc,10-K,2018-01-18,0001683168-18-000179,live
2018-02-28,1045810,NVIDIA CORP,10-K,2018-02-28,0001045810-18-000010,nvda
2018-02-28,1046025,HERITAGE FINANCIAL CORP /WA/,10-K,2018-02-28,0001046025-18-000014,hfwa
2018-02-26,1046102,RITCHIE BROS AUCTIONEERS INC,10-K,2018-02-26,0001279569-18-000342,rba
2018-03-30,1046203,GUARANTY FEDERAL BANCSHARES INC,10-K,2018-03-30,0001437749-18-005913,gfed
2018-02-21,1046257,Ingredion Inc,10-K,2018-02-21,0001558370-18-000857,ingr
2018-03-01,1046311,CHOICE HOTELS INTERNATIONAL INC /DE,10-K,2018-03-01,0001046311-18-000006,chh
2018-02-27,1046327,REALNETWORKS INC,10-K,2018-02-27,0001046327-18-000010,rnwk
2018-02-21,1046568,CAREER EDUCATION CORP,10-K,2018-02-21,0001564590-18-002683,prdo
2018-03-30,1046995,EMAGIN CORP,10-K,2018-03-30,0001562762-18-000120,eman
2018-02-14,1047122,RAYTHEON CO/,10-K,2018-02-14,0001047122-18-000022,
2018-02-23,1047127,"AMKOR TECHNOLOGY, INC.",10-K,2018-02-23,0001047127-18-000009,amkr
2018-01-24,1047166,UNITED RENTALS NORTH AMERICA INC,10-K,2018-01-24,0001067701-18-000006,
2018-02-20,1047335,NATIONAL HEALTHCARE CORP,10-K,2018-02-20,0001437749-18-002879,nhc
2018-02-20,1047340,FRESH DEL MONTE PRODUCE INC,10-K,2018-02-20,0001047340-18-000030,fdp
2018-02-15,1047862,CONSOLIDATED EDISON INC,10-K,2018-02-15,0001047862-18-000037,ed
2018-02-28,1047884,ANWORTH MORTGAGE ASSET CORP,10-K,2018-02-28,0001558370-18-001273,
2018-02-15,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2018-02-15,0001628280-18-001756,mar
2018-02-26,1048477,BIOMARIN PHARMACEUTICAL INC,10-K,2018-02-26,0001564590-18-003114,bmrn
2018-03-02,1048789,FelCor Lodging LP,10-K,2018-03-02,0001715629-18-000002,
