,cik,company_name,form_type,filing_date,accession,ticker
281,1024920,Fuelstream INC,10-K,2015-05-22,0001391609-15-000135,
298,1027235,Asia Travel Corp,10-K,2015-06-26,0001549727-15-000065,
303,1028153,"Axion Power International, Inc.",10-K,2015-04-15,0001144204-15-023066,axpwq
316,1029802,China Fruits Corp,10-K,2015-04-14,0001264931-15-000148,
323,1030916,PREMIER HOLDING CORP.,10-K,2015-04-15,0001019687-15-001478,prhl
329,1031223,PHL VARIABLE INSURANCE CO /CT/,10-K,2015-04-09,0001031223-15-000004,
336,1031927,"Echo Therapeutics, Inc.",10-K,2015-04-15,0001415889-15-001364,
341,1032975,LOGITECH INTERNATIONAL SA,10-K,2015-06-05,0001032975-15-000023,logi
360,1035422,Mindesta Inc.,10-K,2015-04-14,0001553350-15-000347,
369,1036188,QAD INC,10-K,2015-04-13,0001140361-15-015118,qadb
378,1037038,RALPH LAUREN CORP,10-K,2015-05-15,0001037038-15-000006,rl
379,1037131,PLAYERS NETWORK,10-K,2015-04-15,0001019687-15-001473,
381,1037156,WNC HOUSING TAX CREDIT FUND VI LP SERIES 6,10-K,2015-06-19,0001354488-15-003071,
408,1040130,PETMED EXPRESS INC,10-K,2015-05-22,0001571049-15-004580,pets
420,1040850,"AGRITEK HOLDINGS, INC.",10-K,2015-04-15,0001554795-15-000154,agtk
427,1041368,RIVERVIEW BANCORP INC,10-K,2015-06-12,0000939057-15-000314,rvsb
432,104169,WAL MART STORES INC,10-K,2015-04-01,0000104169-15-000011,wmt
460,1043961,TRANSGENOMIC INC,10-K,2015-04-15,0001043961-15-000004,prpo
508,1048685,METALICO INC,10-K,2015-04-15,0001193125-15-131468,
530,1050825,STEELCASE INC,10-K,2015-04-16,0001050825-15-000091,scs
541,1051771,BELK INC,10-K,2015-04-14,0001193125-15-129159,
554,1053369,ELITE PHARMACEUTICALS INC /NV/,10-K,2015-06-15,0001144204-15-037217,eltp
561,1053691,RestorGenex Corp,10-K,2015-04-03,0001104659-15-025785,dffn
576,1056285,"KIRKLAND'S, INC",10-K,2015-04-14,0001193125-15-129317,kirk
583,1056757,SEYCHELLE ENVIRONMENTAL TECHNOLOGIES INC /CA,10-K,2015-05-29,0001079974-15-000402,syev
604,1058330,"FRESH PROMISE FOODS, INC.",10-K,2015-04-27,0001493152-15-001601,fpfi
620,1060409,"SUNVESTA, INC.",10-K,2015-04-15,0001211524-15-000047,
638,1062128,NEW YORK GLOBAL INNOVATIONS INC.,10-K,2015-04-15,0001178913-15-001243,atms
641,1062273,"SPENDSMART NETWORKS, INC.",10-K,2015-04-03,0001415889-15-001245,
667,1065598,"DigitalTown, Inc.",10-K,2015-06-15,0001056520-15-000088,dgtw
724,107140,"WILEY JOHN & SONS, INC.",10-K,2015-06-26,0000107140-15-000020,jw-b
728,1071760,ECOSPHERE TECHNOLOGIES INC,10-K,2015-04-15,0001553350-15-000362,
732,1072248,M LINE HOLDINGS INC,10-K,2015-06-24,0001615774-15-001583,
736,1073146,AMERICAN INTERNATIONAL INDUSTRIES INC,10-K,2015-04-15,0001073146-15-000006,
751,1075857,VIEW SYSTEMS INC,10-K,2015-04-15,0000721748-15-000261,vsym
758,1076744,"EMAV Holdings, Inc.",10-K,2015-04-24,0001096906-15-000428,
760,1076784,"Yosen Group, Inc.",10-K,2015-04-09,0001607062-15-000171,dbub
769,1077688,HOOKER FURNITURE CORP,10-K,2015-04-17,0001185185-15-000947,hoft
774,1078037,"REMEDENT, INC.",10-K,2015-06-29,0001144204-15-039708,remi
775,1078075,NETSCOUT SYSTEMS INC,10-K,2015-05-20,0001628280-15-004363,ntct
789,1080319,EMPIRE GLOBAL CORP.,10-K,2015-04-29,0001080319-15-000005,nwgiw
796,1081183,NATION ENERGY INC,10-K,2015-06-04,0001081183-15-000007,
800,1081834,UONLIVE CORP,10-K,2015-04-30,0001437749-15-008470,uolid
825,108385,WORLD ACCEPTANCE CORP,10-K,2015-06-02,0000108385-15-000036,wrld
826,1083922,"AuraSource, Inc.",10-K,2015-06-29,0001308411-15-000080,arao
829,1084067,WNC HOUSING TAX CREDIT FUND VI LP SERIES 7,10-K,2015-06-17,0001354488-15-003031,
830,1084226,Searchlight Minerals Corp.,10-K,2015-04-13,0001144204-15-022342,
832,1084267,"Mobiquity Technologies, Inc.",10-K,2015-04-15,0001019687-15-001460,mobq
834,1084332,SALON MEDIA GROUP INC,10-K,2015-06-19,0001437749-15-012612,slnm
835,1084384,ELEPHANT TALK COMMUNICATIONS CORP,10-K,2015-04-01,0001144204-15-020658,teum
838,1084507,Arrayit Corp,10-K,2015-04-15,0001354488-15-001753,
842,1084597,XZERES Corp.,10-K,2015-06-24,0001213900-15-004719,
850,1085254,"HII Technologies, Inc.",10-K,2015-04-16,0001548123-15-000117,
865,1087423,RED HAT INC,10-K,2015-04-28,0001193125-15-153023,rht
868,1087734,"HINTO ENERGY, INC",10-K,2015-04-15,0001065949-15-000102,
872,1088162,MAD CATZ INTERACTIVE INC,10-K,2015-06-25,0001193125-15-235183,
875,1088638,"COCONNECT, INC.",10-K,2015-04-30,0001493152-15-001660,mmnd
876,1088787,"CD INTERNATIONAL ENTERPRISES, INC.",10-K,2015-06-12,0001448788-15-000029,
880,1088949,"DLD Group, Inc.",10-K,2015-04-15,0001062993-15-001981,
883,1089061,FINDEX COM INC,10-K,2015-04-15,0001213900-15-002761,find
905,1090908,SELECTICA INC,10-K,2015-06-29,0001437749-15-013046,
908,1091326,VG Life Sciences Inc.,10-K,2015-04-15,0001019687-15-001463,
926,1092796,SMITH & WESSON HOLDING CORP,10-K,2015-06-22,0001564590-15-005183,swbi
936,1094032,DALE JARRETT RACING ADVENTURE INC,10-K,2015-04-15,0001014897-15-000133,qdmi
938,1094038,TAPIMMUNE INC,10-K,2015-04-15,0001424884-15-000039,mrkr
948,1094739,FINISAR CORP,10-K,2015-06-19,0001094739-15-000021,
950,1094814,"Cartesian, Inc.",10-K,2015-04-03,0001144204-15-021195,
953,1094847,"ONCOVISTA INNOVATIVE THERAPIES, INC",10-K,2015-04-15,0001144204-15-022873,
964,1095858,"ERBA Diagnostics, Inc.",10-K,2015-05-15,0001437749-15-010391,
970,1096275,"Franchise Holdings International, Inc.",10-K,2015-04-13,0001477932-15-002385,wksp
973,1096339,SARATOGA RESOURCES INC /TX,10-K,2015-04-15,0001515971-15-000117,
979,1096637,SaviCorp,10-K,2015-05-11,0001019687-15-001838,
980,1096637,SaviCorp,10-K,2015-06-19,0001019687-15-002454,
990,1096934,SITESTAR CORP,10-K,2015-04-01,0000721748-15-000203,syte
992,1096938,"United Health Products, Inc.",10-K,2015-05-06,0001477932-15-002906,ueec
995,1096950,Acology Inc.,10-K,2015-04-15,0000721748-15-000270,actx
1001,1097792,"DubLi, Inc.",10-K,2015-04-15,0001213900-15-002755,
1009,1098146,PATRIOT NATIONAL BANCORP INC,10-K,2015-04-01,0001437749-15-006505,pnbk
1023,1099509,VERTICAL COMPUTER SYSTEMS INC,10-K,2015-04-15,0001615774-15-000761,
1026,1099574,EASTGATE BIOTECH CORP,10-K,2015-04-01,0001557240-15-000223,etbi
1033,1100270,KRISPY KREME DOUGHNUTS INC,10-K,2015-04-02,0001206774-15-001119,
1041,1100644,VALIDIAN CORP,10-K,2015-04-15,0001052918-15-000146,vldi
1045,1100747,TARA GOLD RESOURCES CORP.,10-K,2015-04-27,0001214659-15-003293,
1050,1101026,"Zivo Bioscience, Inc.",10-K,2015-04-06,0001078782-15-000536,zivow
1066,1102432,"VIKING INVESTMENTS GROUP, INC.",10-K,2015-04-03,0001477932-15-002243,vkin
1069,1102709,FORMCAP CORP.,10-K,2015-04-15,0001137171-15-000071,
1081,1103977,RUBICON FINANCIAL INC,10-K,2015-06-05,0001185185-15-001555,
1084,1104038,LASERLOCK TECHNOLOGIES INC,10-K,2015-04-16,0001193125-15-132103,vrmew
1104,1106645,DEBT RESOLVE INC,10-K,2015-04-15,0001477932-15-002466,
1106,1106838,"Chanticleer Holdings, Inc.",10-K,2015-04-15,0001493152-15-001424,sonn
1108,1106851,OMNIVISION TECHNOLOGIES INC,10-K,2015-06-29,0001047469-15-005854,
1109,1107280,OCULUS VISIONTECH INC.,10-K,2015-04-06,0001273511-15-000039,ovtz
1115,1108046,AlumiFuel Power Corp,10-K,2015-04-15,0001477932-15-002508,afpw
1128,1109153,"TRISTAR WELLNESS SOLUTIONS, INC.",10-K,2015-04-15,0001477932-15-002528,
1148,1111741,DYNARESOURCE INC,10-K,2015-05-06,0001354488-15-002119,dynr
1153,1112985,Delta International Oil & Gas Inc.,10-K,2015-04-15,0001213900-15-002770,canx
1159,1113313,ARVANA INC,10-K,2015-04-10,0001211524-15-000034,avni
1177,1117045,"Trycera Financial, Inc.",10-K,2015-05-19,0001185185-15-001358,tryf
1178,1117045,"Trycera Financial, Inc.",10-K,2015-06-02,0001185185-15-001527,tryf
1180,1117057,American Lorain CORP,10-K,2015-04-15,0001062993-15-001971,plag
1194,1119643,NUTRA PHARMA CORP,10-K,2015-04-13,0001398432-15-000168,nphc
1209,1122020,PCS EDVENTURES COM INC,10-K,2015-06-16,0001580957-15-000051,
1210,1122130,"THEDIRECTORY.COM, INC.",10-K,2015-04-15,0001019687-15-001475,
1218,1122991,"Unified Signal, Inc.",10-K,2015-05-06,0001165527-15-000211,
1230,1124127,MINT LEASING INC,10-K,2015-04-15,0001580695-15-000139,
1234,1124524,"Cryoport, Inc.",10-K,2015-05-19,0001144204-15-032332,cyrx
1238,1124827,UTi WORLDWIDE INC,10-K,2015-04-01,0001193125-15-116229,
1245,1125699,DAIS ANALYTIC CORP,10-K,2015-04-01,0001477932-15-002168,dlyt
1253,1126741,GSI TECHNOLOGY INC,10-K,2015-06-11,0001558370-15-001072,gsit
1261,1127993,FULLCIRCLE REGISTRY INC,10-K,2015-04-15,0001078782-15-000572,gaxy
1263,1128189,"ProtoKinetix, Inc.",10-K,2015-04-14,0001079973-15-000278,pktx
1267,1128353,ENERTECK CORP,10-K,2015-04-15,0001477932-15-002473,etck
1289,1131089,"LD HOLDINGS, INC.",10-K,2015-04-16,0001096906-15-000402,
1298,1132105,"SPORTSMAN'S WAREHOUSE HOLDINGS, INC.",10-K,2015-04-02,0001564590-15-002345,spwh
1300,1132509,HAN LOGISTICS INC,10-K,2015-04-17,0001548123-15-000121,nnax
1313,1134765,"True Drinks Holdings, Inc.",10-K,2015-04-02,0001415889-15-001215,chucd
1340,1138724,"Global Arena Holding, Inc.",10-K,2015-04-15,0001014897-15-000135,gahc
1344,1138951,LEAPFROG ENTERPRISES INC,10-K,2015-06-15,0001144204-15-037152,
1346,1139614,WORDLOGIC CORP,10-K,2015-04-15,0001517126-15-000081,
1349,1139822,AMARU INC,10-K,2015-04-15,0001019687-15-001469,
1355,1140414,"Legend Oil & Gas, Ltd.",10-K,2015-04-06,0001387131-15-001223,
1366,1141615,COMMONWEALTH INCOME & GROWTH FUND IV,10-K,2015-04-15,0001376474-15-000100,
1376,1142801,AMANASU ENVIRONMENT CORP,10-K,2015-04-13,0001354488-15-001710,amsu
1380,1143238,Triton Emission Solutions Inc.,10-K,2015-04-15,0001393905-15-000202,dsox
1399,1156445,WNC HOUSING TAX CREDIT FUND VI LP SERIES 9,10-K,2015-06-19,0001354488-15-003070,
1402,1156815,WNC HOUSING TAX CREDIT FUND VI LP SERIES 10,10-K,2015-06-19,0001354488-15-003073,
1415,1158419,SPEEDEMISSIONS INC,10-K,2015-04-22,0001214659-15-003217,
1420,1158694,EFACTOR GROUP CORP.,10-K,2015-04-14,0001615774-15-000731,
1429,1159275,KIWA BIO-TECH PRODUCTS GROUP CORP,10-K,2015-06-29,0001144204-15-039529,kwbt
1464,1164191,"AMERICAN DOCTORS ONLINE, INC.",10-K,2015-04-09,0001554795-15-000146,
1467,1164256,"Daybreak Oil & Gas, Inc.",10-K,2015-05-22,0001515971-15-000192,dbrm
1470,1164888,KYTO BIOPHARMA INC,10-K,2015-06-30,0001354488-15-003214,kbph
1471,1164964,Global Future City Holding Inc.,10-K,2015-04-01,0001019687-15-001262,
1475,1165320,"Growblox Sciences, Inc.",10-K,2015-06-29,0001615774-15-001649,gblx
1476,1165639,EARTH LIFE SCIENCES INC,10-K,2015-05-28,0001078782-15-000910,clts
1496,1168220,ULURU Inc.,10-K,2015-04-01,0001168220-15-000026,ulur
1500,1168663,AMANASU TECHNO HOLDINGS CORP,10-K,2015-04-13,0001354488-15-001703,ansu
1503,1168960,BI-OPTIC VENTURES INC,10-K,2015-06-09,0001052918-15-000299,
1508,1169561,COMMVAULT SYSTEMS INC,10-K,2015-05-08,0001628280-15-003946,cvlt
1514,1170010,CARMAX INC,10-K,2015-04-24,0001170010-15-000008,kmx
1517,1170816,"EAU TECHNOLOGIES, INC.",10-K,2015-04-08,0001354488-15-001621,
1520,1171008,ADAMANT DRI PROCESSING & MINERALS GROUP,10-K,2015-04-14,0001193805-15-000556,admg
1530,1171838,"Sundance Strategies, Inc.",10-K,2015-06-15,0001010412-15-000084,sund
1534,1172178,LIBERTY STAR URANIUM & METALS CORP.,10-K,2015-05-01,0001062993-15-002327,lbsr
1537,1172318,Asia Interactive Media Inc.,10-K,2015-04-01,0001493152-15-001174,
1542,1173204,Cinedigm Corp.,10-K,2015-06-30,0001173204-15-000008,cidm
1544,1173313,"ECOLOGY COATINGS, INC.",10-K,2015-04-15,0001557234-15-000080,abvc
1545,1173313,"ECOLOGY COATINGS, INC.",10-K,2015-04-16,0001557234-15-000092,abvc
1546,1173313,"ECOLOGY COATINGS, INC.",10-K,2015-04-17,0001557234-15-000105,abvc
1560,1174266,ENVIVIO INC,10-K,2015-04-23,0001193125-15-144233,
1562,1174672,"Integrated Inpatient Solutions, Inc.",10-K,2015-04-15,0000721748-15-000255,
1582,1177135,ST JOSEPH INC,10-K,2015-05-11,0001493152-15-001827,
1587,1177845,XPLORE TECHNOLOGIES CORP,10-K,2015-06-29,0001437749-15-013053,
1590,1178377,"Pollex, Inc.",10-K,2015-04-14,0001013762-15-000349,emrn
1594,1178711,"Paratek Pharmaceuticals, Inc.",10-K,2015-04-02,0001193125-15-117033,prtk
1623,1196298,NEPHROS INC,10-K,2015-04-15,0001144204-15-022858,neph
1635,1207074,VIRTUSA CORP,10-K,2015-05-20,0001047469-15-004926,
1637,1208261,IMMUNE PHARMACEUTICALS INC,10-K,2015-04-15,0001144204-15-023077,imnpq
1642,1210294,CRAILAR TECHNOLOGIES INC,10-K,2015-04-13,0001062993-15-001911,
1646,1211351,"New York & Company, Inc.",10-K,2015-04-16,0001047469-15-003596,
1648,1211524,ALLIED RESOURCES INC,10-K,2015-04-15,0001211524-15-000045,
1666,1222218,"MOPALS.COM, INC.",10-K,2015-04-16,0001213900-15-002796,
1670,1223389,CONNS INC,10-K,2015-04-01,0001223389-15-000013,conn
1672,1223533,"Vican Resources, Inc.",10-K,2015-04-15,0001391609-15-000084,frli
1699,1236424,NISSAN MASTER OWNER TRUST RECEIVABLES,10-K,2015-06-26,0001540639-15-000204,
1703,1239188,GENERAL STEEL HOLDINGS INC,10-K,2015-04-10,0001144204-15-022209,gsih
1714,1253347,COMMONWEALTH INCOME & GROWTH FUND V,10-K,2015-04-15,0001376474-15-000101,
1723,1256540,EAST COAST DIVERSIFIED CORP,10-K,2015-04-15,0001019687-15-001467,
1737,1261487,SUNERGY INC,10-K,2015-04-16,0001019687-15-001481,
1750,1263872,TRANSAKT LTD.,10-K,2015-04-14,0001062993-15-001942,takd
1758,12659,H&R BLOCK INC,10-K,2015-06-17,0001574842-15-000011,hrb
1764,1267425,BOSTON CAPITAL TAX CREDIT FUND V LP,10-K,2015-06-25,0001144204-15-038992,
1770,1269022,ATOMIC PAINTBALL INC,10-K,2015-04-30,0001633871-15-000006,
1773,1269127,GREENSHIFT CORP,10-K,2015-04-07,0001096906-15-000366,
1777,1270200,VIASPACE Inc.,10-K,2015-04-14,0001019687-15-001434,vspc
1784,1271551,INNER SYSTEMS INC,10-K,2015-04-15,0001144204-15-022889,
1820,1278752,APOLLO INVESTMENT CORP,10-K,2015-05-19,0001278752-15-000008,ainv
1834,1281845,INNOCAP INC,10-K,2015-04-28,0001078782-15-000639,unql
1837,1281922,Triangle Petroleum Corp,10-K,2015-04-13,0001558370-15-000468,
1839,1282224,DOLPHIN DIGITAL MEDIA INC,10-K,2015-04-15,0001354488-15-001760,dlpn
1857,1284450,"China Carbon Graphite Group, Inc.",10-K,2015-04-01,0001213900-15-002365,chgi
1864,1285543,StrikeForce Technologies Inc.,10-K,2015-04-15,0001477932-15-002476,sfor
1874,1286345,HPIL HOLDING,10-K,2015-04-15,0001286345-15-000028,
1892,1288855,"OptimumBank Holdings, Inc.",10-K,2015-04-02,0001387131-15-001196,ophc
1897,1289308,EnerSys,10-K,2015-05-27,0001289308-15-000029,ens
1905,1289636,PROFIRE ENERGY INC,10-K,2015-06-15,0001096906-15-000641,pfie
1923,1293593,"Synutra International, Inc.",10-K,2015-06-12,0000950103-15-004782,
1927,1294133,Inogen Inc,10-K,2015-04-27,0001564590-15-002861,ingn
1929,1294157,"DR. TATTOFF, INC.",10-K,2015-04-15,0001571049-15-002847,
1932,1294250,"Rand Logistics, Inc.",10-K,2015-06-11,0001628280-15-004882,
1936,1294924,InvenSense Inc,10-K,2015-05-28,0001193125-15-204243,
1937,1295560,INTREorg SYSTEMS INC.,10-K,2015-04-10,0001633871-15-000003,iorg
1943,1295947,"Prestige Brands Holdings, Inc.",10-K,2015-05-14,0001295947-15-000015,pbh
1967,1299969,"Comstock Holding Companies, Inc.",10-K,2015-04-15,0001193125-15-129688,chci
1971,1300524,AMERICAN INTERNATIONAL HOLDINGS CORP.,10-K,2015-04-07,0001300524-15-000008,amih
1972,1300938,"ABCO Energy, Inc.",10-K,2015-06-26,0001185185-15-001702,abce
1977,1301236,Sotherly Hotels Inc.,10-K,2015-04-14,0001193125-15-129493,sohoo
1981,1301704,Go-Page Corp,10-K,2015-04-21,0001594062-15-000105,
1987,1301838,Valley High Mining CO,10-K,2015-06-19,0001213900-15-004590,pmpg
1989,1301874,"Heavy Earth Resources, Inc.",10-K,2015-06-25,0001493152-15-002638,
2002,1303433,Optionable Inc,10-K,2015-05-15,0001437749-15-010396,
2006,1304280,Novelis Inc.,10-K,2015-05-12,0001304280-15-000021,
2007,1304409,ATHENA SILVER CORP,10-K,2015-04-03,0001376474-15-000082,ahnr
2011,1304492,"Pacific DataVision, Inc.",10-K,2015-06-10,0001193125-15-219362,atex
2020,1306035,YUS INTERNATIONAL GROUP Ltd,10-K,2015-04-15,0001477932-15-002480,yusg
2023,1307140,"LIFESTYLE MEDICAL NETWORK, INC.",10-K,2015-06-11,0001213900-15-004383,
2031,1308027,Vystar Corp,10-K,2015-04-15,0001387131-15-001305,vyst
2056,1311538,Castle Brands Inc,10-K,2015-06-15,0001144204-15-037266,
2059,1311735,FBEC Worldwide Inc.,10-K,2015-06-23,0001010549-15-000218,
2061,1311828,"Independence Bancshares, Inc.",10-K,2015-04-15,0001145443-15-000570,
2065,1313024,"Venoco, Inc.",10-K,2015-04-15,0001047469-15-003553,
2068,1313536,SOTHERLY HOTELS LP,10-K,2015-04-14,0001193125-15-129493,
2070,1313911,Rally Software Development Corp,10-K,2015-04-07,0001047469-15-003228,
2092,1316644,"AeroGrow International, Inc.",10-K,2015-06-29,0001185185-15-001726,
2107,1318484,Citi Trends Inc,10-K,2015-04-15,0001104659-15-027586,ctrn
2122,1320760,"TSS, Inc.",10-K,2015-04-22,0001144204-15-024300,tssi
2127,1321516,United American Petroleum Corp.,10-K,2015-04-16,0001604232-15-000059,
2130,1321741,GLADSTONE INVESTMENT CORPORATION\DE,10-K,2015-05-20,0001193125-15-195213,gainn
2133,1322439,Eagle Bulk Shipping Inc.,10-K,2015-04-02,0001437749-15-006809,egkpf
2149,1324948,RBC Bearings INC,10-K,2015-05-27,0001144204-15-033694,roll
2154,1325702,MAGNACHIP SEMICONDUCTOR Corp,10-K,2015-05-28,0001193125-15-204040,mx
2180,1327471,RealD Inc.,10-K,2015-06-12,0001327471-15-000009,
2193,1328792,TECHPRECISION CORP,10-K,2015-06-29,0000950159-15-000177,tpcs
2195,1329606,Probe Manufacturing Inc,10-K,2015-04-28,0001504412-15-000104,cety
2202,1330421,Bazaarvoice Inc,10-K,2015-06-25,0001193125-15-235103,
2228,1334586,JAMMIN JAVA CORP.,10-K,2015-05-01,0001580695-15-000156,
2235,1335112,Seratosa Inc.,10-K,2015-04-15,0001469709-15-000191,lgiq
2239,1335239,Epazz Inc,10-K,2015-05-13,0001019687-15-001901,
2243,1335493,"Provision Holding, Inc.",10-K,2015-05-01,0001013762-15-000404,
2265,1337675,"Jazz Technologies, Inc.",10-K,2015-04-10,0001178913-15-001221,
2290,1341439,ORACLE CORP,10-K,2015-06-25,0001193125-15-235239,orcl
2292,1341768,DEAL A DAY GROUP CORP.,10-K,2015-04-17,0001078782-15-000593,
2309,1343979,"CIRQUE ENERGY, INC.",10-K,2015-04-15,0001144204-15-022912,
2322,1346287,China Teletech Holding Inc,10-K,2015-04-15,0001213900-15-002782,
2323,1346346,"Confederate Motors, Inc.",10-K,2015-04-16,0001213900-15-002785,cmot
2325,1346526,"ESP Resources, Inc.",10-K,2015-04-15,0001171843-15-001973,
2327,1346655,"CMG HOLDINGS GROUP, INC.",10-K,2015-06-08,0001213900-15-004327,cmgo
2331,1346973,Praxsyn Corp,10-K,2015-04-15,0001493152-15-001436,
2335,1347078,"Bitzio, Inc.",10-K,2015-04-15,0001493152-15-001446,
2338,1347452,"Andalay Solar, Inc.",10-K,2015-04-15,0001347452-15-000016,
2346,1348334,BARRACUDA NETWORKS INC,10-K,2015-04-29,0001193125-15-156567,
2365,1351901,Commonwealth Income & Growth Fund VI,10-K,2015-04-15,0001376474-15-000102,
2374,1353406,Independence Energy Corp.,10-K,2015-05-18,0001615774-15-001116,sndd
2377,1353499,Max Sound Corp,10-K,2015-04-01,0001353499-15-000009,maxd
2380,1353538,NEWTOWN LANE MARKETING INC,10-K,2015-06-23,0001144204-15-038515,ntwn
2399,1355042,China Auto Logistics Inc,10-K,2015-04-15,0001213900-15-002710,
2403,1355304,"U-SWIRL, INC.",10-K,2015-05-27,0001437749-15-011157,
2404,1355732,Borneo Resource Investments Ltd.,10-K,2015-04-15,0001477932-15-002526,
2411,1356093,"CREATIVE REALITIES, INC.",10-K,2015-05-07,0001213900-15-003360,crexw
2425,1357838,STW RESOURCES HOLDING CORP.,10-K,2015-04-03,0001415889-15-001239,
2436,1358654,"RED METAL RESOURCES, LTD.",10-K,2015-05-01,0001393905-15-000223,rmes
2444,1360442,"Cannabis Sativa, Inc.",10-K,2015-04-15,0001445866-15-000450,cbds
2465,1362703,QUINT MEDIA INC.,10-K,2015-05-29,0001493152-15-002304,obmp
2470,1363254,Pegasi Energy Resources Corporation.,10-K,2015-04-03,0001185185-15-000813,
2472,1363343,USA Zhimingde International Group Corp,10-K,2015-04-13,0001387131-15-001267,zmdc
2491,1365357,Baoshinn Corp,10-K,2015-04-14,0001091818-15-000062,zzll
2493,1365388,"Gulf & Orient Steamship Company, Ltd.",10-K,2015-04-03,0001010412-15-000048,hsti
2496,1365748,NOVAMEX ENERGY INC.,10-K,2015-04-15,0000721748-15-000266,
2501,1366312,"Juhl Energy, Inc",10-K,2015-04-03,0001437749-15-006815,
2505,1366407,DOUBLE CROWN RESOURCES INC.,10-K,2015-04-10,0001477932-15-002343,
2512,1367083,"Oculus Innovative Sciences, Inc.",10-K,2015-06-16,0001019687-15-002432,snoa
2521,1367416,"MIT Holding, Inc.",10-K,2015-04-20,0001493152-15-001516,
2524,1367832,AURORA DIAGNOSTICS HOLDINGS LLC,10-K,2015-06-04,0001564590-15-004842,
2535,1368637,Rockdale Resources Corp,10-K,2015-05-26,0001185185-15-001454,bbls
2539,1369203,HK BATTERY TECHNOLOGY INC,10-K,2015-04-07,0001078782-15-000540,
2543,1369774,"Shiner International, Inc.",10-K,2015-04-20,0001062993-15-002064,
2546,1369795,GYROTRON TECHNOLOGY INC,10-K,2015-04-17,0001477932-15-002564,
2556,1370804,MEDICAL IMAGING CORP.,10-K,2015-04-03,0001515971-15-000104,medd
2571,1372183,"Next 1 Interactive, Inc.",10-K,2015-06-16,0001144204-15-037435,mkgi
2572,1372184,"RADIANT CREATIONS GROUP, INC.",10-K,2015-06-15,0001262463-15-000435,nwyu
2574,1372336,LIBERTY ENERGY CORP.,10-K,2015-04-10,0001469709-15-000173,
2579,1372620,KALEX CORP,10-K,2015-06-23,0001477932-15-004018,
2582,1373485,"CROSS BORDER RESOURCES, INC.",10-K,2015-05-19,0001387131-15-001802,
2593,1373846,"China Internet Cafe Holdings Group, Inc.",10-K,2015-04-09,0001144204-15-022091,
2600,1374536,"Medytox Solutions, Inc.",10-K,2015-04-15,0001019687-15-001458,
2618,1375793,GTX CORP,10-K,2015-04-15,0001078782-15-000587,gtxo
2624,1376231,Soleil Capital L.P.,10-K,2015-05-22,0001580957-15-000039,vprb
