filing_date,cik,company_name,form_type,filing_date,accession,ticker
2020-02-21,1023128,LITHIA MOTORS INC,10-K,2020-02-21,0001023128-20-000018,lad
2020-03-13,1023313,"FORRESTER RESEARCH, INC.",10-K,2020-03-13,0001564590-20-010647,forr
2020-03-27,1023364,"AutoWeb, Inc.",10-K,2020-03-27,0001654954-20-003358,auto
2020-03-30,1023458,AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP,10-K,2020-03-30,0000931755-20-000010,
2020-03-30,1023994,"SG BLOCKS, INC.",10-K,2020-03-30,0001213900-20-008003,sgbx
2020-02-18,1024095,"Carnegie Development, Inc",10-K,2020-02-18,0001477932-20-000773,cdjm
2020-03-02,1024725,TENNECO INC,10-K,2020-03-02,0001024725-20-000004,ten
2020-02-25,1024795,"HELIOS TECHNOLOGIES, INC.",10-K,2020-02-25,0001564590-20-006215,hlio
2020-02-21,1025378,W. P. Carey Inc.,10-K,2020-02-21,0001025378-20-000011,wpc
2020-03-11,10254,EARTHSTONE ENERGY INC,10-K,2020-03-11,0000010254-20-000038,este
2020-03-27,1025771,CHASE PACKAGING CORP,10-K,2020-03-27,0001477932-20-001540,whlt
2020-02-21,1025835,ENTERPRISE FINANCIAL SERVICES CORP,10-K,2020-02-21,0001025835-20-000014,efsc
2020-03-23,1025953,"NOVATION COMPANIES, INC.",10-K,2020-03-23,0001437749-20-005915,novc
2020-02-13,1025996,KILROY REALTY CORP,10-K,2020-02-13,0001025996-20-000050,krc
2020-02-13,1026214,FEDERAL HOME LOAN MORTGAGE CORP,10-K,2020-02-13,0001026214-20-000016,fmckk
2020-03-13,1026655,CORE MOLDING TECHNOLOGIES INC,10-K,2020-03-13,0001026655-20-000013,cmt
2020-02-26,102729,VALMONT INDUSTRIES INC,10-K,2020-02-26,0000102729-20-000004,vmi
2020-03-09,102752,VSE CORP,10-K,2020-03-09,0000102752-20-000016,vsec
2020-02-26,1027838,TACTILE SYSTEMS TECHNOLOGY INC,10-K,2020-02-26,0001558370-20-001467,tcmd
2020-02-28,1028918,PACIFIC PREMIER BANCORP INC,10-K,2020-02-28,0001028918-20-000049,ppbi
2020-03-10,1028954,SB ONE BANCORP,10-K,2020-03-10,0001558370-20-002330,
2020-03-24,1029125,"Sun BioPharma, Inc.",10-K,2020-03-24,0001437749-20-005968,pbla
2020-03-11,1029142,DYNAVAX TECHNOLOGIES CORP,10-K,2020-03-11,0001564590-20-010075,dvaxw
2020-03-02,1029199,EURONET WORLDWIDE INC,10-K,2020-03-02,0001029199-20-000009,eeft
2020-03-13,1029730,LADENBURG THALMANN FINANCIAL SERVICES INC.,10-K,2020-03-13,0001029730-20-000003,ltsa
2020-01-10,1029800,URSTADT BIDDLE PROPERTIES INC,10-K,2020-01-10,0001029800-20-000008,ubp-pk
2020-03-27,1029831,HILLMAN COMPANIES INC,10-K,2020-03-27,0001029831-20-000006,hlm-p
2020-03-23,1030192,NEW JERSEY MINING CO,10-K,2020-03-23,0001052918-20-000059,njmc
2020-03-03,1030469,OFG BANCORP,10-K,2020-03-03,0001030469-20-000010,ofg-pb
2020-03-12,1031029,"StarTek, Inc.",10-K,2020-03-12,0001437749-20-004942,srt
2020-01-13,1031093,"SILVER BULL RESOURCES, INC.",10-K,2020-01-13,0001079973-20-000013,svbl
2020-02-13,1031203,GROUP 1 AUTOMOTIVE INC,10-K,2020-02-13,0001031203-20-000006,gpi
2020-03-30,1031235,"Global Self Storage, Inc.",10-K,2020-03-30,0001564590-20-014271,self
2020-02-10,1031296,FIRSTENERGY CORP,10-K,2020-02-10,0001031296-20-000008,fe
2020-02-11,1031316,FRANKLIN STREET PROPERTIES CORP /MA/,10-K,2020-02-11,0001558370-20-000679,fsp
2020-02-21,103145,VEECO INSTRUMENTS INC,10-K,2020-02-21,0001558370-20-001167,veco
2020-03-05,1031623,GULF ISLAND FABRICATION INC,10-K,2020-03-05,0001564590-20-008796,gifi
2020-02-28,1032033,SLM Corp,10-K,2020-02-28,0001628280-20-002579,slmbp
2020-02-27,1032208,SEMPRA ENERGY,10-K,2020-02-27,0001032208-20-000006,srea
2020-01-23,10329,BASSETT FURNITURE INDUSTRIES INC,10-K,2020-01-23,0001437749-20-001052,bset
2020-02-28,1033012,FLAGSTAR BANCORP INC,10-K,2020-02-28,0001033012-20-000017,fbc
2020-02-13,1033128,FIRST INDUSTRIAL LP,10-K,2020-02-13,0000921825-20-000011,
2020-02-27,1033905,LUMINEX CORP,10-K,2020-02-27,0001033905-20-000015,lmnx
2020-02-24,1034054,SBA COMMUNICATIONS CORP,10-K,2020-02-24,0001034054-20-000003,sbac
2020-02-28,1034563,ICAHN ENTERPRISES HOLDINGS L.P.,10-K,2020-02-28,0000813762-20-000008,
2020-03-06,1034594,BAY BANKS OF VIRGINIA INC,10-K,2020-03-06,0001564590-20-009180,
2020-02-21,1034670,AUTOLIV INC,10-K,2020-02-21,0001564590-20-005667,alv
2020-03-24,1034760,WIDEPOINT CORP,10-K,2020-03-24,0001654954-20-003103,wyy
2020-02-27,1034842,RIGEL PHARMACEUTICALS INC,10-K,2020-02-27,0001558370-20-001624,rigl
2020-02-26,1035002,VALERO ENERGY CORP/TX,10-K,2020-02-26,0001035002-20-000007,vlo
2020-03-13,1035092,SHORE BANCSHARES INC,10-K,2020-03-13,0001558370-20-002622,shbi
2020-02-27,1035201,CALIFORNIA WATER SERVICE GROUP,10-K,2020-02-27,0001035201-20-000002,cwt
2020-02-27,1035216,SOUTH JERSEY GAS Co,10-K,2020-02-27,0000091928-20-000013,
2020-02-07,1035267,INTUITIVE SURGICAL INC,10-K,2020-02-07,0001035267-20-000032,isrg
2020-03-06,1035354,"Eloxx Pharmaceuticals, Inc.",10-K,2020-03-06,0001564590-20-009148,elox
2020-02-04,1035443,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",10-K,2020-02-04,0001035443-20-000042,are
2020-03-09,1035976,"FNCB Bancorp, Inc.",10-K,2020-03-09,0001437749-20-004600,fncb
2020-02-26,1035983,COMFORT SYSTEMS USA INC,10-K,2020-02-26,0001558370-20-001491,fix
2020-03-18,1036044,"Identiv, Inc.",10-K,2020-03-18,0001564590-20-011497,inve
2020-03-23,1036262,INTEST CORP,10-K,2020-03-23,0001437749-20-005921,intt
2020-02-28,103682,VIRGINIA ELECTRIC & POWER CO,10-K,2020-02-28,0001193125-20-054469,
2020-03-30,1036848,AEROCENTURY CORP,10-K,2020-03-30,0001654954-20-003499,acy
2020-02-14,103730,VISHAY INTERTECHNOLOGY INC,10-K,2020-02-14,0000103730-20-000013,vsh
2020-02-13,1037390,"GRIFFIN INDUSTRIAL REALTY, INC.",10-K,2020-02-13,0001558370-20-000756,indt
2020-03-02,1037540,BOSTON PROPERTIES INC,10-K,2020-03-02,0001656423-20-000007,bxp
2020-02-07,1037646,METTLER TOLEDO INTERNATIONAL INC/,10-K,2020-02-07,0001037646-20-000005,mtd
2020-02-11,1037676,ARCH COAL INC,10-K,2020-02-11,0001628280-20-001344,arch
2020-02-20,1037868,AMETEK INC/,10-K,2020-02-20,0001193125-20-043133,ame
2020-02-27,1037976,JONES LANG LASALLE INC,10-K,2020-02-27,0001037976-20-000011,jll
2020-01-29,1038074,SILICON LABORATORIES INC.,10-K,2020-01-29,0001104659-20-007928,slab
2020-02-28,1038133,HESKA CORP,10-K,2020-02-28,0001038133-20-000013,hska
2020-03-30,1038277,INTERNATIONAL ISOTOPES INC,10-K,2020-03-30,0001515971-20-000046,inis
2020-02-24,1038357,PIONEER NATURAL RESOURCES CO,10-K,2020-02-24,0001038357-20-000009,pxd
2020-03-05,1038509,PRUCO LIFE INSURANCE OF NEW JERSEY,10-K,2020-03-05,0001038509-20-000007,
2020-01-16,103872,"VOLT INFORMATION SCIENCES, INC.",10-K,2020-01-16,0000103872-20-000006,volt
2020-03-12,1038773,SMARTFINANCIAL INC.,10-K,2020-03-12,0001038773-20-000062,smbk
2020-02-21,1039399,FORMFACTOR INC,10-K,2020-02-21,0001039399-20-000011,form
2020-02-25,1039684,ONEOK INC /NEW/,10-K,2020-02-25,0001039684-20-000012,oke
2020-02-25,1039828,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,10-K,2020-02-25,0001039828-20-000013,ael-pb
2020-03-11,1040161,"PIXELWORKS, INC",10-K,2020-03-11,0001040161-20-000010,pxlw
2020-02-18,1040765,VORNADO REALTY LP,10-K,2020-02-18,0000899689-20-000007,
2020-02-25,1040829,"Ryman Hospitality Properties, Inc.",10-K,2020-02-25,0001558370-20-001342,rhp
2020-03-19,1040896,"Intellicheck, Inc.",10-K,2020-03-19,0001493152-20-004295,idn
2020-02-28,1040971,SL GREEN REALTY CORP,10-K,2020-02-28,0001040971-20-000006,slg-pi
2020-03-17,1041024,"ROCKWELL MEDICAL, INC.",10-K,2020-03-17,0001628280-20-003683,rmti
2020-02-20,1041061,YUM BRANDS INC,10-K,2020-02-20,0001041061-20-000015,yum
2020-01-02,1041588,ACCESS-POWER INC,10-K,2020-01-02,0001041588-20-000001,accr
2020-03-20,104169,Walmart Inc.,10-K,2020-03-20,0000104169-20-000011,wmt
2020-03-19,1041859,"Childrens Place, Inc.",10-K,2020-03-19,0001628280-20-003840,plce
2020-02-25,1042046,AMERICAN FINANCIAL GROUP INC,10-K,2020-02-25,0001042046-20-000013,afgb
2020-03-16,1042074,"CymaBay Therapeutics, Inc.",10-K,2020-03-16,0001193125-20-074946,cbay
2020-03-30,1042418,"Inhibitor Therapeutics, Inc.",10-K,2020-03-30,0001193125-20-090201,inti
2020-02-25,1042642,DISH DBS CORP,10-K,2020-02-25,0001558370-20-001270,
2020-03-02,1042729,MERCANTILE BANK CORP,10-K,2020-03-02,0001437749-20-004062,mbwm
2020-02-27,1042773,CENTERPOINT ENERGY RESOURCES CORP,10-K,2020-02-27,0001130310-20-000016,
2020-02-19,1042776,"Piedmont Office Realty Trust, Inc.",10-K,2020-02-19,0001042776-20-000045,pdm
2020-02-27,1042893,DRIL-QUIP INC,10-K,2020-02-27,0001564590-20-007447,drq
2020-03-31,1043000,CAPITAL SENIOR LIVING CORP,10-K,2020-03-31,0001564590-20-014583,csu
2020-03-02,1043121,BOSTON PROPERTIES LTD PARTNERSHIP,10-K,2020-03-02,0001656423-20-000007,
2020-03-16,1043186,"Stabilis Energy, Inc.",10-K,2020-03-16,0001043186-20-000012,slng
2020-02-14,1043219,ANNALY CAPITAL MANAGEMENT INC,10-K,2020-02-14,0001628280-20-001548,nly-pi
2020-02-19,1043277,"C. H. ROBINSON WORLDWIDE, INC.",10-K,2020-02-19,0001043277-20-000016,chrw
2020-02-27,1043337,STONERIDGE INC,10-K,2020-02-27,0001558370-20-001657,sri
2020-02-21,1043509,SONIC AUTOMOTIVE INC,10-K,2020-02-21,0001043509-20-000006,sah
2020-03-26,1043565,POTOMAC FUTURES FUND LP,10-K,2020-03-26,0001193125-20-086405,
2020-02-20,1043604,JUNIPER NETWORKS INC,10-K,2020-02-20,0001043604-20-000021,jnpr
2020-03-27,1043951,CAMPBELL FUND TRUST,10-K,2020-03-27,0001140361-20-007212,
2020-03-27,1043961,"Precipio, Inc.",10-K,2020-03-27,0001558370-20-003247,prpo
2020-03-27,1044378,BIOCEPT INC,10-K,2020-03-27,0001564590-20-013670,bioc
2020-03-16,1044777,OneSpan Inc.,10-K,2020-03-16,0001558370-20-002752,ospn
2020-02-27,1045309,W R GRACE & CO,10-K,2020-02-27,0001045309-20-000033,gra
2020-02-25,1045450,EPR PROPERTIES,10-K,2020-02-25,0001045450-20-000019,epr-pe
2020-02-11,1045609,"Prologis, Inc.",10-K,2020-02-11,0001564590-20-004096,pldgp
2020-02-11,1045610,"Prologis, L.P.",10-K,2020-02-11,0001564590-20-004096,
2020-03-17,10456,BAXTER INTERNATIONAL INC,10-K,2020-03-17,0001628280-20-003693,bax
2020-02-10,1045742,LIVE VENTURES Inc,10-K,2020-02-10,0001564590-20-003917,live
2020-02-20,1045810,NVIDIA CORP,10-K,2020-02-20,0001045810-20-000010,nvda
2020-01-10,1045942,"Track Group, Inc.",10-K,2020-01-10,0001654954-20-000262,trck
2020-02-28,1046025,HERITAGE FINANCIAL CORP /WA/,10-K,2020-02-28,0001046025-20-000037,hfwa
2020-02-27,1046102,RITCHIE BROS AUCTIONEERS INC,10-K,2020-02-27,0001104659-20-026287,rba
2020-03-13,1046203,GUARANTY FEDERAL BANCSHARES INC,10-K,2020-03-13,0001437749-20-005084,gfed
2020-02-19,1046257,Ingredion Inc,10-K,2020-02-19,0001558370-20-000978,ingr
2020-03-02,1046311,CHOICE HOTELS INTERNATIONAL INC /DE,10-K,2020-03-02,0001046311-20-000011,chh
2020-03-30,1046327,REALNETWORKS INC,10-K,2020-03-30,0001046327-20-000024,rnwk
2020-02-19,1046568,PERDOCEO EDUCATION Corp,10-K,2020-02-19,0001564590-20-005289,prdo
2020-03-11,1046995,EMAGIN CORP,10-K,2020-03-11,0001046995-20-000022,eman
2020-02-12,1047122,RAYTHEON CO/,10-K,2020-02-12,0001047122-20-000009,
2020-02-19,1047127,"AMKOR TECHNOLOGY, INC.",10-K,2020-02-19,0001047127-20-000006,amkr
2020-01-29,1047166,UNITED RENTALS NORTH AMERICA INC,10-K,2020-01-29,0001067701-20-000008,
2020-02-21,1047335,NATIONAL HEALTHCARE CORP,10-K,2020-02-21,0001437749-20-003248,nhc
2020-02-20,1047340,FRESH DEL MONTE PRODUCE INC,10-K,2020-02-20,0001047340-20-000020,fdp
2020-02-20,1047862,CONSOLIDATED EDISON INC,10-K,2020-02-20,0001047862-20-000041,ed
2020-03-05,1047884,ANWORTH MORTGAGE ASSET CORP,10-K,2020-03-05,0001558370-20-002082,
2020-03-02,104819,WASHINGTON GAS LIGHT CO,10-K,2020-03-02,0000104819-20-000003,
2020-02-27,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020-02-27,0001628280-20-002376,mar
2020-02-27,1048477,BIOMARIN PHARMACEUTICAL INC,10-K,2020-02-27,0001048477-20-000009,bmrn
2020-02-26,1048789,FelCor Lodging LP,10-K,2020-02-26,0001715629-20-000003,
2020-02-26,104889,Graham Holdings Co,10-K,2020-02-26,0000104889-20-000007,ghc
2020-02-19,104894,WASHINGTON REAL ESTATE INVESTMENT TRUST,10-K,2020-02-19,0000104894-20-000028,wre
2020-02-26,104918,AVISTA CORP,10-K,2020-02-26,0000104918-20-000036,ava
2020-02-28,1049502,MKS INSTRUMENTS INC,10-K,2020-02-28,0001193125-20-056028,mksi
2020-02-26,1049606,COMPX INTERNATIONAL INC,10-K,2020-02-26,0001564590-20-006804,cix
2020-02-28,1049782,BROOKLINE BANCORP INC,10-K,2020-02-28,0001049782-20-000008,brkl
2020-02-28,105016,WATSCO INC,10-K,2020-02-28,0001193125-20-056004,wso-b
2020-02-06,1050377,PC CONNECTION INC,10-K,2020-02-06,0001558370-20-000576,cnxn
2020-03-02,1050441,EAGLE BANCORP INC,10-K,2020-03-02,0001104659-20-027945,egbn
2020-02-14,1050446,MICROSTRATEGY Inc,10-K,2020-02-14,0001564590-20-004679,mstr
2020-03-13,1050606,"SALEM MEDIA GROUP, INC. /DE/",10-K,2020-03-13,0001193125-20-071771,salm
2020-03-13,1050743,PEAPACK GLADSTONE FINANCIAL CORP,10-K,2020-03-13,0001564590-20-010802,pgc
2020-02-27,1050797,COLUMBIA SPORTSWEAR CO,10-K,2020-02-27,0001050797-20-000012,colm
2020-02-28,1050915,"QUANTA SERVICES, INC.",10-K,2020-02-28,0001050915-20-000020,pwr
2020-03-10,1051343,COMMUNITY WEST BANCSHARES /,10-K,2020-03-10,0001140361-20-005343,cwbc
2020-03-10,1051470,CROWN CASTLE INTERNATIONAL CORP,10-K,2020-03-10,0001051470-20-000077,cci
