filing_date,cik,company_name,form_type,filing_date,accession,ticker
2021-02-26,1010612,SYKES ENTERPRISES INC,10-K,2021-02-26,0001564590-21-009418,syke
2021-03-25,1011432,"CYNERGISTEK, INC",10-K,2021-03-25,0001096906-21-000585,ctek
2021-02-18,1011509,Golden Minerals Co,10-K,2021-02-18,0001558370-21-001156,aumn
2021-03-01,1011570,KNOLL INC,10-K,2021-03-01,0001011570-21-000014,knl
2021-03-02,1011659,MUFG Americas Holdings Corp,10-K,2021-03-02,0001628280-21-003748,
2021-02-26,101199,UNITED FIRE GROUP INC,10-K,2021-02-26,0000101199-21-000024,ufcs
2021-02-24,1012019,RUSH ENTERPRISES INC \TX\,10-K,2021-02-24,0001437749-21-003966,rushb
2021-02-25,1012100,SEALED AIR CORP/DE,10-K,2021-02-25,0001628280-21-003329,see
2021-03-09,1012477,AVADEL PHARMACEUTICALS PLC,10-K,2021-03-09,0001012477-21-000004,avdl
2021-02-25,1012771,FBL FINANCIAL GROUP INC,10-K,2021-02-25,0001012771-21-000007,ffg
2021-03-22,101295,UNITED GUARDIAN INC,10-K,2021-03-22,0001171843-21-001963,ug
2021-03-09,1013272,NORWOOD FINANCIAL CORP,10-K,2021-03-09,0001562762-21-000105,nwfl
2021-02-24,1013462,ANSYS INC,10-K,2021-02-24,0001013462-21-000009,anss
2021-03-01,1013488,BJs RESTAURANTS INC,10-K,2021-03-01,0001564590-21-009951,bjri
2021-03-16,1013706,"Wilhelmina International, Inc.",10-K,2021-03-16,0001171843-21-001816,whlm
2021-03-01,101382,UMB FINANCIAL CORP,10-K,2021-03-01,0001564590-21-009664,umbf
2021-02-17,1013857,PEGASYSTEMS INC,10-K,2021-02-17,0001013857-21-000032,pega
2021-03-01,1013871,"NRG ENERGY, INC.",10-K,2021-03-01,0001013871-21-000005,nrg
2021-03-01,1013880,"TTEC Holdings, Inc.",10-K,2021-03-01,0001558370-21-002162,ttec
2021-03-01,1013934,"Strategic Education, Inc.",10-K,2021-03-01,0001013934-21-000005,stra
2021-02-19,1014473,VERISIGN INC/CA,10-K,2021-02-19,0001014473-21-000005,vrsn
2021-03-11,1014739,"Option Care Health, Inc.",10-K,2021-03-11,0001014739-21-000011,opch
2021-03-30,1014763,AMARILLO BIOSCIENCES INC,10-K,2021-03-30,0001654954-21-003517,amar
2021-02-26,1015328,WINTRUST FINANCIAL CORP,10-K,2021-02-26,0001015328-21-000057,wtfcp
2021-03-31,101538,UNITED STATES ANTIMONY CORP,10-K,2021-03-31,0001654954-21-003567,uamy
2021-02-17,1015739,AWARE INC /MA/,10-K,2021-02-17,0001564590-21-006373,awre
2021-03-26,101594,US ENERGY CORP,10-K,2021-03-26,0001493152-21-006877,useg
2021-03-02,1016169,"ANTARES PHARMA, INC.",10-K,2021-03-02,0001564590-21-010298,atrs
2021-03-02,1016281,CARRIAGE SERVICES INC,10-K,2021-03-02,0001016281-21-000071,csv
2021-03-31,1016708,"RenovaCare, Inc.",10-K,2021-03-31,0001171843-21-002192,rcar
2021-03-12,1017303,TRANSACT TECHNOLOGIES INC,10-K,2021-03-12,0001017303-21-000020,tact
2021-03-11,1017491,"SEELOS THERAPEUTICS, INC.",10-K,2021-03-11,0001136261-21-000034,seel
2021-03-31,1017655,PAID INC,10-K,2021-03-31,0001654954-21-003649,payd
2021-03-04,1017673,DOVER MOTORSPORTS INC,10-K,2021-03-04,0001104659-21-032106,dvd
2021-02-23,101778,MARATHON OIL CORP,10-K,2021-02-23,0000101778-21-000018,mro
2021-03-15,1018164,WILLIS LEASE FINANCE CORP,10-K,2021-03-15,0001018164-21-000013,wlfc
2021-02-18,1018254,UNITED DOMINION REALTY L P,10-K,2021-02-18,0000074208-21-000025,
2021-02-08,101829,RAYTHEON TECHNOLOGIES CORP,10-K,2021-02-08,0000101829-21-000008,rtx
2021-03-10,1018399,ENTERPRISE BANCORP INC /MA/,10-K,2021-03-10,0001018399-21-000021,ebtc
2021-02-03,1018724,AMAZON COM INC,10-K,2021-02-03,0001018724-21-000004,amzn
2021-03-29,1018840,ABERCROMBIE & FITCH CO /DE/,10-K,2021-03-29,0001018840-21-000023,anf
2021-02-26,1018963,ALLEGHENY TECHNOLOGIES INC,10-K,2021-02-26,0001628280-21-003434,ati
2021-02-26,1018979,AMERISAFE INC,10-K,2021-02-26,0001564590-21-009413,amsf
2021-03-29,1019034,BIO KEY INTERNATIONAL INC,10-K,2021-03-29,0001437749-21-007486,bkyi
2021-02-19,1019849,"PENSKE AUTOMOTIVE GROUP, INC.",10-K,2021-02-19,0001558370-21-001299,pag
2021-03-05,101984,UNIVERSAL ELECTRONICS INC,10-K,2021-03-05,0000101984-21-000009,ueic
2021-02-25,1020214,CERUS CORP,10-K,2021-02-25,0001564590-21-008958,cers
2021-02-24,1020569,IRON MOUNTAIN INC,10-K,2021-02-24,0001020569-21-000067,irm
2021-03-18,1020710,DXP ENTERPRISES INC,10-K,2021-03-18,0001020710-21-000026,dxpe
2021-03-31,1021435,hopTo Inc.,10-K,2021-03-31,0001493152-21-007517,hpto
2021-02-11,1021561,"NU SKIN ENTERPRISES, INC.",10-K,2021-02-11,0001140361-21-004212,nus
2021-03-31,1021604,ON TRACK INNOVATIONS LTD,10-K,2021-03-31,0001213900-21-019217,otivf
2021-02-25,1021635,OGE ENERGY CORP.,10-K,2021-02-25,0001021635-21-000026,oge
2021-02-12,1021860,NOV Inc.,10-K,2021-02-12,0001564590-21-005708,nov
2021-02-22,1022079,QUEST DIAGNOSTICS INC,10-K,2021-02-22,0001022079-21-000029,dgx
2021-02-26,102212,UNIVEST FINANCIAL Corp,10-K,2021-02-26,0000102212-21-000010,uvsp
2021-03-01,1022321,GENESIS ENERGY LP,10-K,2021-03-01,0001022321-21-000018,gel
2021-02-25,1022344,SIMON PROPERTY GROUP L P /DE/,10-K,2021-02-25,0001558370-21-001700,
2021-03-01,1022652,INSEEGO CORP.,10-K,2021-03-01,0001022652-21-000017,insg
2021-03-01,1022671,STEEL DYNAMICS INC,10-K,2021-03-01,0001558370-21-002129,stld
2021-03-25,1022899,"Protagenic Therapeutics, Inc.\new",10-K,2021-03-25,0001493152-21-006756,ptixw
2021-03-11,1023024,ANI PHARMACEUTICALS INC,10-K,2021-03-11,0001023024-21-000007,anip
2021-02-19,1023128,LITHIA MOTORS INC,10-K,2021-02-19,0001023128-21-000022,lad
2021-03-11,1023313,"FORRESTER RESEARCH, INC.",10-K,2021-03-11,0001564590-21-012256,forr
2021-03-11,1023364,"AutoWeb, Inc.",10-K,2021-03-11,0001654954-21-002627,auto
2021-03-30,1023458,AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP,10-K,2021-03-30,0000894245-21-000018,
2021-02-24,1024725,TENNECO INC,10-K,2021-02-24,0001024725-21-000004,ten
2021-03-02,1024795,"HELIOS TECHNOLOGIES, INC.",10-K,2021-03-02,0001564590-21-010095,hlio
2021-02-12,1025378,W. P. Carey Inc.,10-K,2021-02-12,0001025378-21-000040,wpc
2021-03-10,10254,EARTHSTONE ENERGY INC,10-K,2021-03-10,0000010254-21-000045,este
2021-03-17,1025771,CHASE PACKAGING CORP,10-K,2021-03-17,0001477932-21-001484,whlt
2021-02-19,1025835,ENTERPRISE FINANCIAL SERVICES CORP,10-K,2021-02-19,0001025835-21-000018,efsc
2021-03-04,1025953,"NOVATION COMPANIES, INC.",10-K,2021-03-04,0001437749-21-004939,novc
2021-02-12,1025996,KILROY REALTY CORP,10-K,2021-02-12,0001025996-21-000062,krc
2021-02-11,1026214,FEDERAL HOME LOAN MORTGAGE CORP,10-K,2021-02-11,0001026214-21-000033,fmckk
2021-03-11,1026655,CORE MOLDING TECHNOLOGIES INC,10-K,2021-03-11,0001026655-21-000003,cmt
2021-02-24,102729,VALMONT INDUSTRIES INC,10-K,2021-02-24,0000102729-21-000012,vmi
2021-03-05,102752,VSE CORP,10-K,2021-03-05,0000102752-21-000039,vsec
2021-02-23,1027838,TACTILE SYSTEMS TECHNOLOGY INC,10-K,2021-02-23,0001558370-21-001465,tcmd
2021-02-26,1028918,PACIFIC PREMIER BANCORP INC,10-K,2021-02-26,0001028918-21-000023,ppbi
2021-03-25,1029125,"Panbela Therapeutics, Inc.",10-K,2021-03-25,0001437749-21-007154,pbla
2021-02-25,1029142,DYNAVAX TECHNOLOGIES CORP,10-K,2021-02-25,0001564590-21-008833,dvaxw
2021-02-22,1029199,"EURONET WORLDWIDE, INC.",10-K,2021-02-22,0001213900-21-010724,eeft
2021-01-13,1029800,URSTADT BIDDLE PROPERTIES INC,10-K,2021-01-13,0001029800-21-000016,ubp-pk
2021-03-03,1029831,HILLMAN COMPANIES INC,10-K,2021-03-03,0001029831-21-000022,hlm-p
2021-03-31,1030192,NEW JERSEY MINING CO,10-K,2021-03-31,0001052918-21-000096,njmc
2021-02-26,1030469,OFG BANCORP,10-K,2021-02-26,0001030469-21-000009,ofg-pb
2021-03-16,1031029,"Startek, Inc.",10-K,2021-03-16,0001437749-21-006156,srt
2021-01-28,1031093,"SILVER BULL RESOURCES, INC.",10-K,2021-01-28,0001079973-21-000025,svbl
2021-02-24,1031203,GROUP 1 AUTOMOTIVE INC,10-K,2021-02-24,0001031203-21-000007,gpi
2021-03-30,1031233,PINNACLE BANKSHARES CORP,10-K,2021-03-30,0001564590-21-016418,ppbn
2021-03-31,1031235,"Global Self Storage, Inc.",10-K,2021-03-31,0001564590-21-017086,self
2021-02-18,1031296,FIRSTENERGY CORP,10-K,2021-02-18,0001031296-21-000020,fe
2021-03-02,1031308,BENTLEY SYSTEMS INC,10-K,2021-03-02,0001628280-21-003727,bsy
2021-02-16,1031316,FRANKLIN STREET PROPERTIES CORP /MA/,10-K,2021-02-16,0001558370-21-001073,fsp
2021-02-22,103145,VEECO INSTRUMENTS INC,10-K,2021-02-22,0001558370-21-001358,veco
2021-03-30,1031623,GULF ISLAND FABRICATION INC,10-K,2021-03-30,0001564590-21-016266,gifi
2021-02-25,1032033,SLM Corp,10-K,2021-02-25,0001628280-21-003299,slmbp
2021-02-25,1032208,SEMPRA ENERGY,10-K,2021-02-25,0001032208-21-000007,srea
2021-01-21,10329,BASSETT FURNITURE INDUSTRIES INC,10-K,2021-01-21,0001437749-21-000971,bset
2021-02-26,1033012,FLAGSTAR BANCORP INC,10-K,2021-02-26,0001033012-21-000037,fbc
2021-02-16,1033128,FIRST INDUSTRIAL LP,10-K,2021-02-16,0000921825-21-000006,
2021-02-26,1033905,LUMINEX CORP,10-K,2021-02-26,0001033905-21-000012,lmnx
2021-02-25,1034054,SBA COMMUNICATIONS CORP,10-K,2021-02-25,0001034054-21-000003,sbac
2021-02-26,1034563,ICAHN ENTERPRISES HOLDINGS L.P.,10-K,2021-02-26,0001558370-21-002010,
2021-02-19,1034670,AUTOLIV INC,10-K,2021-02-19,0001564590-21-006803,alv
2021-03-23,1034760,WIDEPOINT CORP,10-K,2021-03-23,0001654954-21-003119,wyy
2021-03-02,1034842,RIGEL PHARMACEUTICALS INC,10-K,2021-03-02,0001558370-21-002254,rigl
2021-02-23,1035002,VALERO ENERGY CORP/TX,10-K,2021-02-23,0001035002-21-000051,vlo
2021-03-26,1035092,SHORE BANCSHARES INC,10-K,2021-03-26,0001558370-21-003505,shbi
2021-02-25,1035201,CALIFORNIA WATER SERVICE GROUP,10-K,2021-02-25,0001035201-21-000003,cwt
2021-02-25,1035216,SOUTH JERSEY GAS Co,10-K,2021-02-25,0000091928-21-000014,
2021-02-10,1035267,INTUITIVE SURGICAL INC,10-K,2021-02-10,0001035267-21-000028,isrg
2021-03-12,1035354,"Eloxx Pharmaceuticals, Inc.",10-K,2021-03-12,0001564590-21-012703,elox
2021-02-01,1035443,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",10-K,2021-02-01,0001035443-21-000044,are
2021-03-12,1035976,"FNCB Bancorp, Inc.",10-K,2021-03-12,0001437749-21-005940,fncb
2021-02-25,1035983,COMFORT SYSTEMS USA INC,10-K,2021-02-25,0001558370-21-001828,fix
2021-03-12,1036044,"Identiv, Inc.",10-K,2021-03-12,0001564590-21-012914,inve
2021-03-23,1036262,INTEST CORP,10-K,2021-03-23,0001437749-21-006901,intt
2021-02-25,103682,VIRGINIA ELECTRIC & POWER CO,10-K,2021-02-25,0001564590-21-008442,
2021-02-24,103730,VISHAY INTERTECHNOLOGY INC,10-K,2021-02-24,0000103730-21-000014,vsh
2021-02-18,1037390,"INDUS REALTY TRUST, INC.",10-K,2021-02-18,0001558370-21-001230,indt
2021-02-26,1037540,BOSTON PROPERTIES INC,10-K,2021-02-26,0001656423-21-000006,bxp
2021-02-08,1037646,METTLER TOLEDO INTERNATIONAL INC/,10-K,2021-02-08,0001037646-21-000008,mtd
2021-02-12,1037676,"ARCH RESOURCES, INC.",10-K,2021-02-12,0001558370-21-000957,arch
2021-02-18,1037868,AMETEK INC/,10-K,2021-02-18,0001037868-21-000007,ame
2021-02-18,1037976,JONES LANG LASALLE INC,10-K,2021-02-18,0001037976-21-000009,jll
2021-02-03,1038074,SILICON LABORATORIES INC.,10-K,2021-02-03,0001104659-21-011613,slab
2021-02-26,1038133,HESKA CORP,10-K,2021-02-26,0001038133-21-000011,hska
2021-03-30,1038277,INTERNATIONAL ISOTOPES INC,10-K,2021-03-30,0001515971-21-000025,inis
2021-03-01,1038357,PIONEER NATURAL RESOURCES CO,10-K,2021-03-01,0001038357-21-000016,pxd
2021-03-19,1038509,PRUCO LIFE INSURANCE OF NEW JERSEY,10-K,2021-03-19,0001038509-21-000005,
2021-01-14,103872,"VOLT INFORMATION SCIENCES, INC.",10-K,2021-01-14,0000103872-21-000006,volt
2021-03-16,1038773,SMARTFINANCIAL INC.,10-K,2021-03-16,0001558370-21-003071,smbk
2021-02-22,1039399,FORMFACTOR INC,10-K,2021-02-22,0001039399-21-000009,form
2021-03-30,1039466,NovAccess Global Inc.,10-K,2021-03-30,0001185185-21-000410,xsnx
2021-02-23,1039684,ONEOK INC /NEW/,10-K,2021-02-23,0001039684-21-000015,oke
2021-03-01,1039828,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,10-K,2021-03-01,0001039828-21-000018,ael-pb
2021-03-10,1040161,"PIXELWORKS, INC",10-K,2021-03-10,0001040161-21-000005,pxlw
2021-02-16,1040765,VORNADO REALTY LP,10-K,2021-02-16,0000899689-21-000009,
2021-02-26,1040829,"Ryman Hospitality Properties, Inc.",10-K,2021-02-26,0001558370-21-001956,rhp
2021-03-03,1040850,"AGRITEK HOLDINGS, INC.",10-K,2021-03-03,0001554795-21-000061,agtk
2021-03-29,1040896,"Intellicheck, Inc.",10-K,2021-03-29,0001493152-21-007101,idn
2021-02-26,1040971,SL GREEN REALTY CORP,10-K,2021-02-26,0001040971-21-000007,slg-pi
2021-03-31,1041024,"ROCKWELL MEDICAL, INC.",10-K,2021-03-31,0001628280-21-006280,rmti
2021-02-22,1041061,YUM BRANDS INC,10-K,2021-02-22,0001041061-21-000012,yum
2021-01-04,1041588,"Access-Power & Co., Inc.",10-K,2021-01-04,0001041588-21-000001,accr
2021-03-31,1041657,"URBAN ONE, INC.",10-K,2021-03-31,0001104659-21-044506,uonek
2021-03-19,104169,Walmart Inc.,10-K,2021-03-19,0000104169-21-000033,wmt
2021-03-29,1041859,"Childrens Place, Inc.",10-K,2021-03-29,0001628280-21-005818,plce
2021-02-25,1042046,AMERICAN FINANCIAL GROUP INC,10-K,2021-02-25,0001042046-21-000011,afgb
2021-03-25,1042074,"CymaBay Therapeutics, Inc.",10-K,2021-03-25,0001193125-21-094424,cbay
2021-03-26,1042418,"Inhibitor Therapeutics, Inc.",10-K,2021-03-26,0001193125-21-095516,inti
2021-03-24,1042642,DISH DBS CORP,10-K,2021-03-24,0001558370-21-003406,
2021-03-05,1042729,MERCANTILE BANK CORP,10-K,2021-03-05,0001437749-21-005133,mbwm
2021-02-25,1042773,CENTERPOINT ENERGY RESOURCES CORP,10-K,2021-02-25,0001130310-21-000009,
2021-02-17,1042776,"Piedmont Office Realty Trust, Inc.",10-K,2021-02-17,0001042776-21-000032,pdm
2021-02-25,1042893,DRIL-QUIP INC,10-K,2021-02-25,0001564590-21-008917,drq
2021-03-31,1043000,CAPITAL SENIOR LIVING CORP,10-K,2021-03-31,0001564590-21-017126,csu
2021-02-26,1043121,BOSTON PROPERTIES LTD PARTNERSHIP,10-K,2021-02-26,0001656423-21-000006,
2021-03-16,1043186,"Stabilis Solutions, Inc.",10-K,2021-03-16,0001043186-21-000010,slng
2021-02-19,1043219,ANNALY CAPITAL MANAGEMENT INC,10-K,2021-02-19,0001628280-21-002510,nly-pi
2021-02-19,1043277,"C. H. ROBINSON WORLDWIDE, INC.",10-K,2021-02-19,0001043277-21-000009,chrw
2021-02-24,1043337,STONERIDGE INC,10-K,2021-02-24,0001558370-21-001646,sri
2021-02-23,1043509,SONIC AUTOMOTIVE INC,10-K,2021-02-23,0001043509-21-000004,sah
2021-02-12,1043604,JUNIPER NETWORKS INC,10-K,2021-02-12,0001043604-21-000013,jnpr
2021-03-31,1043894,"ENVIRO TECHNOLOGIES U.S., INC.",10-K,2021-03-31,0001099910-21-000039,evtn
2021-03-26,1043951,CAMPBELL FUND TRUST,10-K,2021-03-26,0001140361-21-010248,
2021-03-29,1043961,"Precipio, Inc.",10-K,2021-03-29,0001558370-21-003619,prpo
2021-03-31,1044378,BIOCEPT INC,10-K,2021-03-31,0001564590-21-017097,bioc
2021-02-25,1044777,OneSpan Inc.,10-K,2021-02-25,0001558370-21-001842,ospn
2021-02-26,1045309,W R GRACE & CO,10-K,2021-02-26,0001045309-21-000028,gra
2021-02-25,1045450,EPR PROPERTIES,10-K,2021-02-25,0001045450-21-000020,epr-pe
2021-02-11,1045609,"Prologis, Inc.",10-K,2021-02-11,0001564590-21-005312,pldgp
2021-02-11,1045610,"Prologis, L.P.",10-K,2021-02-11,0001564590-21-005312,
2021-02-11,10456,BAXTER INTERNATIONAL INC,10-K,2021-02-11,0001628280-21-001867,bax
2021-01-13,1045742,LIVE VENTURES Inc,10-K,2021-01-13,0001564590-21-001106,live
2021-02-26,1045810,NVIDIA CORP,10-K,2021-02-26,0001045810-21-000010,nvda
2021-02-26,1046025,HERITAGE FINANCIAL CORP /WA/,10-K,2021-02-26,0001046025-21-000012,hfwa
2021-02-18,1046102,RITCHIE BROS AUCTIONEERS INC,10-K,2021-02-18,0001558370-21-001228,rba
2021-03-12,1046203,GUARANTY FEDERAL BANCSHARES INC,10-K,2021-03-12,0001437749-21-005844,gfed
2021-02-24,1046257,Ingredion Inc,10-K,2021-02-24,0001558370-21-001632,ingr
2021-02-26,1046311,CHOICE HOTELS INTERNATIONAL INC /DE,10-K,2021-02-26,0001046311-21-000014,chh
2021-03-15,1046327,REALNETWORKS INC,10-K,2021-03-15,0001046327-21-000018,rnwk
2021-02-24,1046568,PERDOCEO EDUCATION Corp,10-K,2021-02-24,0001564590-21-008099,prdo
2021-03-19,1046995,EMAGIN CORP,10-K,2021-03-19,0001046995-21-000005,eman
2021-02-19,1047127,"AMKOR TECHNOLOGY, INC.",10-K,2021-02-19,0001047127-21-000010,amkr
2021-01-27,1047166,UNITED RENTALS NORTH AMERICA INC,10-K,2021-01-27,0001067701-21-000008,
2021-02-19,1047335,NATIONAL HEALTHCARE CORP,10-K,2021-02-19,0001437749-21-003415,nhc
2021-02-24,1047340,FRESH DEL MONTE PRODUCE INC,10-K,2021-02-24,0001047340-21-000022,fdp
2021-02-18,1047862,CONSOLIDATED EDISON INC,10-K,2021-02-18,0001047862-21-000049,ed
2021-02-26,1047884,ANWORTH MORTGAGE ASSET CORP,10-K,2021-02-26,0001558370-21-001977,
2021-03-01,104819,WASHINGTON GAS LIGHT CO,10-K,2021-03-01,0000104819-21-000002,
2021-02-18,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2021-02-18,0001628280-21-002433,mar
2021-02-26,1048477,BIOMARIN PHARMACEUTICAL INC,10-K,2021-02-26,0001048477-21-000008,bmrn
2021-02-26,1048789,FelCor Lodging LP,10-K,2021-02-26,0001628280-21-003474,
2021-02-24,104889,Graham Holdings Co,10-K,2021-02-24,0000104889-21-000018,ghc
2021-02-16,104894,WASHINGTON REAL ESTATE INVESTMENT TRUST,10-K,2021-02-16,0000104894-21-000025,wre
2021-02-24,104918,AVISTA CORP,10-K,2021-02-24,0001564590-21-007774,ava
2021-02-23,1049502,MKS INSTRUMENTS INC,10-K,2021-02-23,0001564590-21-007630,mksi
2021-03-03,1049606,COMPX INTERNATIONAL INC,10-K,2021-03-03,0001564590-21-010577,cix
2021-02-26,1049782,BROOKLINE BANCORP INC,10-K,2021-02-26,0001049782-21-000014,brkl
2021-02-26,105016,WATSCO INC,10-K,2021-02-26,0001193125-21-060167,wso-b
2021-03-16,1050377,PC CONNECTION INC,10-K,2021-03-16,0001558370-21-003067,cnxn
2021-03-01,1050441,EAGLE BANCORP INC,10-K,2021-03-01,0001050441-21-000036,egbn
2021-02-12,1050446,MICROSTRATEGY Inc,10-K,2021-02-12,0001564590-21-005783,mstr
2021-03-04,1050606,"SALEM MEDIA GROUP, INC. /DE/",10-K,2021-03-04,0001193125-21-069290,salm
2021-03-12,1050743,PEAPACK GLADSTONE FINANCIAL CORP,10-K,2021-03-12,0001564590-21-012861,pgc
2021-02-25,1050797,COLUMBIA SPORTSWEAR CO,10-K,2021-02-25,0001050797-21-000014,colm
2021-03-01,1050915,"QUANTA SERVICES, INC.",10-K,2021-03-01,0001050915-21-000009,pwr
2021-03-15,1051343,COMMUNITY WEST BANCSHARES /,10-K,2021-03-15,0001140361-21-008391,cwbc
2021-02-22,1051470,CROWN CASTLE INTERNATIONAL CORP,10-K,2021-02-22,0001051470-21-000031,cci
2021-02-18,1051512,TELEPHONE & DATA SYSTEMS INC /DE/,10-K,2021-02-18,0001051512-21-000009,tds-pu
2021-03-25,1051514,"STRATA Skin Sciences, Inc.",10-K,2021-03-25,0001051514-21-000018,sskn
2021-03-23,1051627,AXT INC,10-K,2021-03-23,0001558370-21-003377,axti
2021-03-17,1052054,EVOLVING SYSTEMS INC,10-K,2021-03-17,0001562762-21-000123,evol
2021-02-19,1052100,WADDELL & REED FINANCIAL INC,10-K,2021-02-19,0001558370-21-001278,wdr
